,name,form,won,draw,lost,goalsFor,goalsAgainst
0,Manchester City FC,5.0,19,5,2,52,16
1,Manchester United FC,3.5,14,7,4,53,32
2,Leicester City FC,3.5,15,4,6,44,27
3,West Ham United FC,3.5,13,6,7,40,31
4,Chelsea FC,4.5,12,7,6,41,25
5,Liverpool FC,1.0,11,7,7,45,34
6,Everton FC,2.5,12,4,8,37,33
7,Aston Villa FC,2.5,12,3,9,38,26
8,Tottenham Hotspur FC,1.0,10,6,8,37,27
9,Leeds United FC,2.0,11,2,13,43,44
10,Arsenal FC,1.5,10,4,11,31,26
11,Wolverhampton Wanderers FC,4.0,9,7,10,27,33
12,Crystal Palace FC,3.0,9,5,11,29,43
13,Southampton FC,0.5,8,6,11,31,43
14,Burnley FC,2.5,7,7,11,18,30
15,Brighton & Hove Albion FC,2.0,5,11,10,26,33
16,Newcastle United FC,1.5,7,5,14,27,44
17,Fulham FC,3.0,4,10,11,21,32
18,West Bromwich Albion FC,2.0,3,8,15,20,55
19,Sheffield United FC,1.0,3,2,20,15,41
20,FC Bayern München,3.5,16,4,3,67,32
21,RB Leipzig,5.0,15,5,3,43,20
22,VfL Wolfsburg,4.5,12,9,2,37,19
23,Eintracht Frankfurt,4.0,11,9,3,46,32
24,Borussia Dortmund,3.5,12,3,8,48,31
25,Bayer 04 Leverkusen,2.0,10,7,5,40,24
26,1. FC Union Berlin,2.0,8,9,5,35,25
27,Borussia Mönchengladbach,1.0,8,9,6,40,36
28,VfB Stuttgart,3.5,8,8,7,44,36
29,SC Freiburg,2.5,8,7,7,35,34
30,TSG 1899 Hoffenheim,2.5,7,5,10,36,39
31,SV Werder Bremen,3.0,6,8,8,26,32
32,FC Augsburg,1.5,6,5,11,22,35
33,1. FC Köln,2.0,5,6,12,21,41
34,Hertha BSC,0.5,4,6,13,26,42
35,Arminia Bielefeld,0.5,5,3,14,18,41
36,1. FSV Mainz 05,3.5,4,5,13,23,43
37,FC Schalke 04,1.0,1,6,16,16,61
38,FC Internazionale Milano,4.5,16,5,2,57,24
39,AC Milan,2.0,15,4,4,45,28
40,Juventus FC,3.5,13,7,3,45,20
41,AS Roma,3.5,13,5,5,47,35
42,Atalanta BC,3.5,12,7,4,53,31
43,SS Lazio,3.0,13,4,7,38,32
44,SSC Napoli,2.0,13,1,8,47,25
45,US Sassuolo Calcio,2.0,9,8,6,37,34
46,Hellas Verona FC,2.0,9,8,7,31,27
47,UC Sampdoria,2.5,9,3,11,33,34
48,Bologna FC 1909,3.0,7,7,10,32,37
49,Genoa CFC,4.0,6,8,9,26,33
50,ACF Fiorentina,2.5,6,7,10,25,35
51,Spezia Calcio,2.5,6,7,11,32,43
52,Benevento Calcio,2.0,6,7,10,25,42
53,Udinese Calcio,3.0,6,7,10,25,33
54,Torino FC,3.0,3,11,9,33,41
55,Cagliari Calcio,0.5,3,6,14,24,41
56,Parma Calcio 1913,1.0,2,9,13,19,47
57,FC Crotone,0.0,3,3,17,23,55
58,Club Atlético de Madrid,3.0,17,4,2,45,16
59,FC Barcelona,4.5,16,5,4,55,22
60,Real Madrid CF,4.0,16,4,4,42,19
61,Sevilla FC,4.0,15,3,6,34,18
62,Real Sociedad de Fútbol,4.0,11,8,5,41,20
63,Villarreal CF,2.0,8,13,3,33,25
64,Real Betis Balompié,3.5,11,3,10,32,38
65,Levante UD,2.5,7,11,7,35,34
66,Athletic Club,2.5,8,6,10,34,28
67,Granada CF,1.0,8,6,10,29,41
68,RC Celta de Vigo,2.5,7,8,9,29,36
69,CA Osasuna,3.0,7,7,11,23,33
70,Getafe CF,1.0,7,6,12,20,30
71,Valencia CF,2.5,6,9,10,30,35
72,Cádiz CF,0.5,6,7,11,21,40
73,SD Eibar,1.0,4,10,11,20,28
74,Deportivo Alavés,1.5,5,7,13,20,39
75,Real Valladolid CF,1.0,4,9,11,22,35
76,Elche CF,1.5,4,9,10,20,34
77,SD Huesca,2.5,3,11,11,22,36
78,Lille OSC,4.5,17,7,2,46,16
79,Paris Saint-Germain FC,4.0,18,3,6,61,17
80,Olympique Lyonnais,4.0,16,7,3,54,24
81,AS Monaco FC,4.5,16,4,6,54,37
82,FC Metz,2.5,11,8,8,33,26
83,Racing Club de Lens,3.5,11,7,8,37,35
84,Olympique de Marseille,2.5,10,8,7,33,29
85,Stade Rennais FC 1901,1.0,10,8,8,33,30
86,Montpellier HSC,3.5,11,5,10,43,46
87,Angers SCO,2.0,10,5,11,30,40
88,FC Girondins de Bordeaux,0.5,9,6,12,28,33
89,OGC Nice,2.0,9,5,13,33,39
90,Stade Brestois 29,2.0,9,4,13,39,47
91,Stade de Reims,2.5,7,9,10,32,34
92,AS Saint-Étienne,4.0,7,9,10,26,37
93,RC Strasbourg Alsace,2.0,8,5,13,34,40
94,Nîmes Olympique,3.0,7,3,16,25,51
95,FC Nantes,2.0,4,11,11,26,41
96,FC Lorient,2.0,6,5,15,31,50
97,Dijon Football Côte d'Or,0.0,2,9,16,18,44
