,name,won,draw,lost,goalsFor,goalsAgainst
0,Manchester City FC,10,2,1,27,8
1,West Ham United FC,7,3,3,21,15
2,Liverpool FC,7,2,4,22,16
3,Chelsea FC,6,4,2,23,11
4,Manchester United FC,6,3,4,28,19
5,Leicester City FC,6,1,5,19,16
6,Wolverhampton Wanderers FC,5,4,4,15,14
7,Tottenham Hotspur FC,5,3,4,17,13
8,Arsenal FC,5,3,5,16,14
9,Leeds United FC,5,2,6,19,17
10,Southampton FC,5,2,6,17,16
11,Aston Villa FC,5,1,5,20,16
12,Burnley FC,4,4,5,10,14
13,Newcastle United FC,4,3,6,16,22
14,Crystal Palace FC,4,3,5,14,21
15,Everton FC,4,2,6,17,20
16,Brighton & Hove Albion FC,1,7,5,12,17
17,Fulham FC,2,4,7,8,17
18,West Bromwich Albion FC,2,4,7,9,32
19,Sheffield United FC,2,1,9,9,18
20,RB Leipzig,10,1,1,24,9
21,FC Bayern München,8,3,0,42,16
22,VfL Wolfsburg,7,4,0,19,8
23,Eintracht Frankfurt,6,5,0,21,12
24,Borussia Dortmund,6,2,3,25,14
25,Bayer 04 Leverkusen,5,4,2,23,15
26,SC Freiburg,5,4,3,24,17
27,Borussia Mönchengladbach,5,4,3,20,15
28,1. FC Union Berlin,4,6,1,21,12
29,TSG 1899 Hoffenheim,4,2,5,20,16
30,SV Werder Bremen,3,4,4,11,14
31,VfB Stuttgart,2,6,3,19,17
32,FC Augsburg,3,3,6,12,20
33,Arminia Bielefeld,4,0,7,10,19
34,1. FSV Mainz 05,2,2,7,10,19
35,Hertha BSC,2,2,7,11,23
36,1. FC Köln,1,3,7,11,20
37,FC Schalke 04,1,2,9,8,26
38,AS Roma,9,3,0,31,13
39,FC Internazionale Milano,9,1,1,32,14
40,Juventus FC,8,2,1,23,8
41,SS Lazio,7,2,3,18,14
42,SSC Napoli,7,1,3,28,10
43,Atalanta BC,6,3,3,30,18
44,AC Milan,6,3,3,24,18
45,Hellas Verona FC,6,3,3,18,12
46,ACF Fiorentina,5,4,3,14,11
47,Bologna FC 1909,5,3,4,21,20
48,UC Sampdoria,5,1,5,19,17
49,Genoa CFC,4,3,5,18,19
50,US Sassuolo Calcio,3,5,3,15,15
51,Udinese Calcio,3,3,5,9,12
52,Benevento Calcio,2,5,5,12,21
53,Spezia Calcio,2,4,6,14,21
54,FC Crotone,3,1,7,14,22
55,Cagliari Calcio,2,3,7,13,21
56,Parma Calcio 1913,1,5,6,5,20
57,Torino FC,0,7,4,14,19
58,Club Atlético de Madrid,9,2,1,26,7
59,FC Barcelona,8,4,1,32,13
60,Sevilla FC,8,1,3,19,9
61,Real Madrid CF,8,0,3,20,7
62,Villarreal CF,5,6,1,18,12
63,Granada CF,6,3,3,17,15
64,Real Sociedad de Fútbol,5,5,2,22,10
65,Athletic Club,6,2,4,20,11
66,Real Betis Balompié,6,2,4,16,15
67,Levante UD,4,7,2,20,17
68,RC Celta de Vigo,6,1,4,18,18
69,Getafe CF,5,3,5,12,9
70,Valencia CF,4,5,3,18,14
71,CA Osasuna,4,3,5,13,17
72,Deportivo Alavés,3,4,6,10,16
73,Elche CF,2,6,4,11,17
74,SD Huesca,2,5,5,9,14
75,Real Valladolid CF,2,4,6,12,20
76,Cádiz CF,2,4,6,11,21
77,SD Eibar,1,6,6,7,14
78,Paris Saint-Germain FC,10,1,3,34,8
79,Lille OSC,8,4,1,21,7
80,AS Monaco FC,8,4,1,30,17
81,Olympique Lyonnais,8,3,2,28,12
82,Stade Brestois 29,7,1,5,26,24
83,FC Metz,5,4,4,16,13
84,Racing Club de Lens,5,4,4,19,18
85,FC Girondins de Bordeaux,5,4,5,13,14
86,Montpellier HSC,6,1,7,26,28
87,Olympique de Marseille,5,3,4,18,16
88,Stade Rennais FC 1901,5,3,6,16,19
89,Stade de Reims,4,4,4,11,12
90,Angers SCO,5,1,6,13,17
91,FC Lorient,5,1,7,19,25
92,AS Saint-Étienne,3,6,4,12,18
93,RC Strasbourg Alsace,3,4,6,14,17
94,FC Nantes,2,7,4,13,20
95,OGC Nice,3,2,8,14,24
96,Nîmes Olympique,3,1,9,15,27
97,Dijon Football Côte d'Or,0,6,8,4,18
